stage,group,cell_id,episode_id,seed,opponent,config_json,starting_money,final_money,profit,revenue_total,cost_seed,cost_hire,cost_land,cost_animal,cost_buy_wheat,cost_buy_fertilizer,cost_other,harvest_units_json,animal_units_json,sold_units_total,avg_realized_price_overall,hands_hired_events,land_quadrants_end,productive_action_rate,movement_fraction,market_action_fraction,win,money_margin,validation_overall,inventory_overflow_flag
F,h2h_c1_production_x_market_passive,c1_integrated_inv_high_passive,c1_integrated_inv_high_passive_seed201100,201100,agents/baseline_agent.py,"{""animal_buy_day"": 0, ""animals"": {""COW"": 1, ""GOOSE"": 1}, ""crops"": {""MELON"": 0.5, ""STRAWBERRY"": 0.5}, ""land_buy_day"": 0, ""land_quadrants"": 1, ""n_hands"": 4, ""sell_policy"": {""mode"": ""passive""}}",3000.0,30568.0,27568.0,40630.222,8220,153,1000,2800,889.222,0,0.0,"{""STRAWBERRY"": 55, ""MELON"": 115}","{""COW"": 0, ""GOOSE"": 10}",175,232.1727,89,2,0.9366,0.5857,0.3483,1,24634.0,PASS,0
F,h2h_c1_production_x_market_passive,c1_integrated_inv_high_passive,c1_integrated_inv_high_passive_seed201101,201101,agents/baseline_agent.py,"{""animal_buy_day"": 0, ""animals"": {""COW"": 1, ""GOOSE"": 1}, ""crops"": {""MELON"": 0.5, ""STRAWBERRY"": 0.5}, ""land_buy_day"": 0, ""land_quadrants"": 1, ""n_hands"": 4, ""sell_policy"": {""mode"": ""passive""}}",3000.0,33232.0,30232.0,42489.7924,8240,153,1000,1800,1064.7924,0,0.0,"{""STRAWBERRY"": 57, ""MELON"": 115}","{""COW"": 8, ""GOOSE"": 20}",194,219.0195,89,2,0.9398,0.5886,0.3501,1,27425.0,PASS,0
F,h2h_c1_production_x_market_passive,c1_integrated_inv_high_passive,c1_integrated_inv_high_passive_seed201102,201102,agents/baseline_agent.py,"{""animal_buy_day"": 0, ""animals"": {""COW"": 1, ""GOOSE"": 1}, ""crops"": {""MELON"": 0.5, ""STRAWBERRY"": 0.5}, ""land_buy_day"": 0, ""land_quadrants"": 1, ""n_hands"": 4, ""sell_policy"": {""mode"": ""passive""}}",3000.0,32310.0,29310.0,40911.2504,7340,153,1000,2400,708.2506,0,0.0,"{""STRAWBERRY"": 58, ""MELON"": 115}","{""COW"": 9, ""GOOSE"": 11}",186,219.953,89,2,0.934,0.5916,0.3478,1,27115.0,PARTIAL,0
F,h2h_c1_production_x_market_passive,c1_integrated_inv_high_passive,c1_integrated_inv_high_passive_seed201103,201103,agents/baseline_agent.py,"{""animal_buy_day"": 0, ""animals"": {""COW"": 1, ""GOOSE"": 1}, ""crops"": {""MELON"": 0.5, ""STRAWBERRY"": 0.5}, ""land_buy_day"": 0, ""land_quadrants"": 1, ""n_hands"": 4, ""sell_policy"": {""mode"": ""passive""}}",3000.0,33845.0,30845.0,42320.1244,7820,153,1000,1400,1102.1243,0,0.0,"{""STRAWBERRY"": 66, ""MELON"": 115}","{""COW"": 14, ""GOOSE"": 16}",199,212.6639,89,2,0.9198,0.573,0.3526,1,28054.0,PARTIAL,0
F,h2h_c1_production_x_market_passive,c1_integrated_inv_high_passive,c1_integrated_inv_high_passive_seed201104,201104,agents/baseline_agent.py,"{""animal_buy_day"": 0, ""animals"": {""COW"": 1, ""GOOSE"": 1}, ""crops"": {""MELON"": 0.5, ""STRAWBERRY"": 0.5}, ""land_buy_day"": 0, ""land_quadrants"": 1, ""n_hands"": 4, ""sell_policy"": {""mode"": ""passive""}}",3000.0,34106.0,31106.0,42723.9993,7820,150,1000,1700,947.9995,0,0.0,"{""STRAWBERRY"": 62, ""MELON"": 113}","{""COW"": 17, ""GOOSE"": 10}",191,223.6859,88,2,0.9276,0.5781,0.363,1,28857.0,PARTIAL,0
F,h2h_c1_production_x_market_passive,c1_integrated_inv_high_passive,c1_integrated_inv_high_passive_seed201105,201105,agents/baseline_agent.py,"{""animal_buy_day"": 0, ""animals"": {""COW"": 1, ""GOOSE"": 1}, ""crops"": {""MELON"": 0.5, ""STRAWBERRY"": 0.5}, ""land_buy_day"": 0, ""land_quadrants"": 1, ""n_hands"": 4, ""sell_policy"": {""mode"": ""passive""}}",3000.0,32920.0,29920.0,42293.069,8220,148,1000,2100,905.0691,0,0.0,"{""STRAWBERRY"": 69, ""MELON"": 115}","{""COW"": 14, ""GOOSE"": 14}",201,210.4133,87,2,0.9225,0.5716,0.3763,1,27544.0,PARTIAL,0
F,h2h_c1_production_x_market_passive,c1_integrated_inv_high_passive,c1_integrated_inv_high_passive_seed201106,201106,agents/baseline_agent.py,"{""animal_buy_day"": 0, ""animals"": {""COW"": 1, ""GOOSE"": 1}, ""crops"": {""MELON"": 0.5, ""STRAWBERRY"": 0.5}, ""land_buy_day"": 0, ""land_quadrants"": 1, ""n_hands"": 4, ""sell_policy"": {""mode"": ""passive""}}",3000.0,34404.0,31404.0,43351.4475,7760,153,1000,2100,934.4475,0,0.0,"{""STRAWBERRY"": 62, ""MELON"": 114}","{""COW"": 9, ""GOOSE"": 11}",188,230.5928,89,2,0.9387,0.5875,0.3487,1,28922.0,PASS,0
F,h2h_c1_production_x_market_passive,c1_integrated_inv_high_passive,c1_integrated_inv_high_passive_seed201107,201107,agents/baseline_agent.py,"{""animal_buy_day"": 0, ""animals"": {""COW"": 1, ""GOOSE"": 1}, ""crops"": {""MELON"": 0.5, ""STRAWBERRY"": 0.5}, ""land_buy_day"": 0, ""land_quadrants"": 1, ""n_hands"": 4, ""sell_policy"": {""mode"": ""passive""}}",3000.0,32130.0,29130.0,41971.5372,8220,153,1000,2700,768.5372,0,0.0,"{""STRAWBERRY"": 56, ""MELON"": 115}","{""COW"": 13, ""GOOSE"": 1}",180,233.1752,89,2,0.9402,0.5869,0.3497,1,26519.0,PASS,0
F,h2h_c1_production_x_market_passive,c1_integrated_inv_high_passive,c1_integrated_inv_high_passive_seed201108,201108,agents/baseline_agent.py,"{""animal_buy_day"": 0, ""animals"": {""COW"": 1, ""GOOSE"": 1}, ""crops"": {""MELON"": 0.5, ""STRAWBERRY"": 0.5}, ""land_buy_day"": 0, ""land_quadrants"": 1, ""n_hands"": 4, ""sell_policy"": {""mode"": ""passive""}}",3000.0,30185.0,27185.0,39087.808,7880,153,1000,2100,769.808,0,0.0,"{""STRAWBERRY"": 57, ""MELON"": 115}","{""COW"": 8, ""GOOSE"": 14}",186,210.1495,89,2,0.934,0.5867,0.3487,1,25485.0,PASS,0
F,h2h_c1_production_x_market_passive,c1_integrated_inv_high_passive,c1_integrated_inv_high_passive_seed201109,201109,agents/baseline_agent.py,"{""animal_buy_day"": 0, ""animals"": {""COW"": 1, ""GOOSE"": 1}, ""crops"": {""MELON"": 0.5, ""STRAWBERRY"": 0.5}, ""land_buy_day"": 0, ""land_quadrants"": 1, ""n_hands"": 4, ""sell_policy"": {""mode"": ""passive""}}",3000.0,33575.0,30575.0,42161.2138,7620,153,1000,2100,713.2137,0,0.0,"{""STRAWBERRY"": 59, ""MELON"": 114}","{""COW"": 9, ""GOOSE"": 13}",189,223.0752,89,2,0.9413,0.5937,0.3487,1,28704.0,PARTIAL,0
